Post id,Date,post_text,Link,Impressions,Likes,Engagements,Bookmarks,Share,New follows,Replies,Reposts,Profile visits,Detail expands,Url clicks,Hashtag clicks,Permalink clicks
1899239934277680000,YYYY-00-DD 00:00:SS,"Today, I joined Indivisible members from MoCo and across our region to stand up for democracy, federal workers and the rule of law. We are beating Musk and Trump every day in court, and we will keep going. https://t.co/2nb1a0ETqm",https://x.com/RepRaskin/status/1899239934277685444,37545,1743,3195,19,3,1,447,388,88,314,8,0,0
1898773449947970000,YYYY-00-DD 00:00:SS,Anyone who cares about the shocking resurgence of antisemitism and its relationship to the attack on democracy all over the world must read this powerful analysis of the Trump-Vance attempt to humiliate President Zelensky in the Oval Office. Tim Snyder’s analysis is devastating.,https://x.com/RepRaskin/status/1898773449947971707,19138,412,2267,43,14,0,237,131,37,608,837,0,0
1898203189817610000,YYYY-00-DD 00:00:SS,"Today, tons of Marylanders rallied at the Lincoln Memorial with Dr. Francis Collins, Bill Nye the Science Guy and thousands of others to tell MAGA to let our expert civil servant scientists get back to work, pursuing facts and conducting critical research for the common good. https://t.co/7KauxGJUhv",https://x.com/RepRaskin/status/1898203189817614543,70577,3352,7515,37,12,1,1063,816,202,1060,50,0,0
1898167910054370000,YYYY-00-DD 00:00:SS,My Joint Address guest Dr. Lauren McGee is a NIH cancer biologist who was summarily fired by a DOGE worker she never met during Elon Musk's Valentine's Day assault on the federal workforce. This #MD08 Local Hero was doing pathbreaking research to treat pediatric cancer. https://t.co/1rviGewgVz,https://x.com/RepRaskin/status/1898167910054371387,38921,1171,2206,19,8,1,233,414,38,200,11,14,0
1897777324948640000,YYYY-00-DD 00:00:SS,"Federal workers at @HHSgov conduct critical medical research for America. I led my colleagues in demanding @SecKennedy immediately reinstate illegally purged civil servants in his agency. If Republican members can get jobs restored for their constituents, I want my constituents'",https://x.com/RepRaskin/status/1897777324948640030,34097,639,1385,10,1,3,165,225,50,302,1,0,0
1897775300416550000,YYYY-00-DD 00:00:SS,"Ahead of the 60th anniversary of Bloody Sunday, I'm joining @RepTerriSewell to reintroduce the John Lewis Voting Rights Advancement Act to protect the right of all Americans to vote without tricks &amp; laws of suppression. Let's summon the moral purpose of the great Rep. Lewis.",https://x.com/RepRaskin/status/1897775300416545002,20924,815,1451,12,0,1,211,248,39,135,0,0,0
1897756053317860000,YYYY-00-DD 00:00:SS,"Mourning the passing of Congressman Sylvester Turner, my colleague who dedicated himself to public service and the people of his beloved Houston. While he was new to Congress, his kindness and leadership leave an enduring mark on this institution. May his memory be a blessing.",https://x.com/RepRaskin/status/1897756053317861863,17797,715,987,6,0,0,52,99,22,99,0,0,0
1897369258193280000,YYYY-00-DD 00:00:SS,"Hundreds of fired civil servants at @NOAA provided seafood safety, hurricane and snowstorm forecasts and critical climate science. This week we gathered at their HQ to tell Trump and Elon Musk: we believe in facts, science and truth. Hands off NOAA! https://t.co/8DEc4Y16cV",https://x.com/RepRaskin/status/1897369258193281486,43424,3152,5161,32,8,2,536,922,111,364,23,0,0
1897134445708370000,YYYY-00-DD 00:00:SS,The felon president who pardoned 1500 violent J6 Capitol rioters he incited that went on to viciously assault American police officers just called for “law and order.”,https://x.com/RepRaskin/status/1897134445708370173,116172,5975,10269,78,13,10,1653,1475,385,759,0,0,0
1897133828239710000,YYYY-00-DD 00:00:SS,"President Trump says rates of pediatric cancer are way up, but his incompetent fanatics on DOGE fired my guest tonight, Dr. Lauren McGee, a remarkable pediatric cancer researcher who was sacked from NIH as part of Musk’s Valentine’s Day onslaught.",https://x.com/RepRaskin/status/1897133828239712337,295300,16886,26326,303,53,12,1312,5300,724,2073,2,0,0
1897105025903860000,YYYY-00-DD 00:00:SS,"Meet my guest tonight, Dr. Lauren McGee of Rockville. A life-saving biologist working to cure pediatric bone cancer, Dr. McGee was sacked by Elon Musk along with the whole probationary federal workforce. She was on “probation” because she'd been promoted for her superior work. https://t.co/JDHz4bYBNX",https://x.com/RepRaskin/status/1897105025903862152,376484,12184,21561,325,89,69,1233,4014,533,2152,50,0,0
1897104010454450000,YYYY-00-DD 00:00:SS,"Dozens of Members of the @UkraineCaucus are here to stand strong for democracy, freedom and international law against Trump, Putin and Musk. https://t.co/TF9XF5r2sI",https://x.com/RepRaskin/status/1897104010454446245,160669,10585,17742,129,26,199,2155,1746,1264,1383,51,1,0
1897089281728110000,YYYY-00-DD 00:00:SS,"I imagine they'll be translating President Trump's speech into Russian which shouldn't be hard because that was the language it was drafted in. A Moscow spokesperson states the obvious: the Trump-Vance agenda ""largely aligns"" with the Kremlin. https://t.co/cDnm6iBall",https://x.com/RepRaskin/status/1897089281728110749,14878,524,1116,10,11,3,110,173,26,221,57,0,0
1897075333121380000,YYYY-00-DD 00:00:SS,"Illegally and arbitrarily fired by Elon Musk, my constituent Dr. Lauren McGee is standing strong with me for all federal employees at the Joint Address in the Capitol tonight. Lauren's pediatric cancer research at @NIH saves lives, but DOGE throws everything into chaos.",https://x.com/RepRaskin/status/1897075333121376730,86177,3333,5162,27,7,4,552,858,97,318,0,0,0
1895886466942980000,YYYY-00-DD 00:00:SS,"Oh Donald, it must have been brutal on you and Vladimir when Paul Manafort, Michael Flynn, and Roger Stone were convicted and jailed for Russia Russia Russia. But your special relationship survived and is stronger than ever!",https://x.com/RepRaskin/status/1895886466942976243,15468,668,1137,7,1,3,150,127,41,148,0,0,0
1895886464766120000,YYYY-00-DD 00:00:SS,"“Putin went through a hell of a lot with me. He went through a phony witch hunt where they used him and Russia, Russia, Russia,” Trump said. This is touching when you think about what this couple has been through.",https://x.com/RepRaskin/status/1895886464766124425,63574,1885,3073,30,4,17,261,322,144,438,1,0,0
1895565187492820000,YYYY-00-DD 00:00:SS,They just turned the Oval Office into the Evil Office.,https://x.com/RepRaskin/status/1895565187492823317,141851,8364,13269,80,34,66,1569,1378,875,1004,3,0,0
1895259205311050000,YYYY-00-DD 00:00:SS,https://t.co/wgkxoEc6Rg,https://x.com/RepRaskin/status/1895259205311046047,11502,137,817,6,3,1,76,29,20,100,454,0,0
1895259202836430000,YYYY-00-DD 00:00:SS,"Elon Musk Fact-Checked by his own AI platform Grok! What an embarrassment this “genius” is. For my full statement and questions posed to Mr. Musk, see below. https://t.co/2NJNZv1JA7",https://x.com/RepRaskin/status/1895259202836426831,51363,1520,3526,44,15,7,449,520,108,601,40,0,0
1894818442387000000,YYYY-00-DD 00:00:SS,"Federal workers choose public service to serve our people, but the Trump administration wants to traumatize them. We need cancer researchers, forest service firefighters, nuclear safety experts, VA nurses and food safety inspectors. We don’t need Elon Musk, whatever his job is.",https://x.com/RepRaskin/status/1894818442386997520,336574,10113,24250,172,22,21,6964,2839,1095,3145,10,0,0
1894585219988020000,YYYY-00-DD 00:00:SS,"Even the people working at DOGE say it is a lawless nightmare for America. In fact, they know it better than anyone. Thanks to these true public servants who won’t stand for such a dangerous betrayal of the American people. https://t.co/OTR63Kru9F",https://x.com/RepRaskin/status/1894585219988017230,60191,4072,8260,77,9,1,1068,1284,150,628,1034,0,0
1894406672937800000,YYYY-00-DD 00:00:SS,"There's no democracy, and therefore no progress, without freedom of thought and conscience. The world can celebrate the release of Nigerian prisoner of conscience Mubarak Bala, whose freedom I have been demanding with colleagues in @TLHumanRights. https://t.co/9nq49azH8v",https://x.com/RepRaskin/status/1894406672937803916,22222,546,1137,5,0,1,167,126,43,188,3,0,0
1894218392418000000,YYYY-00-DD 00:00:SS,Honored to join Ike and Catherine Leggett and hundreds of MoCo constituents and community leaders for the jubilant naming ceremony for the Ike Leggett Building in Rockville. Generations to come will honor his service. https://t.co/QnwLsGCLIK,https://x.com/RepRaskin/status/1894218392418005424,19641,242,638,4,4,0,77,40,27,132,12,0,0
1893118725563280000,YYYY-00-DD 00:00:SS,"MaryBeth Hastings has devoted her career to human rights, one of the many people in #MD08 who have seen their lives, livelihood and work upended by the attacks on USAID. Thanks MaryBeth for reminding us: foreign aid is critical for democratic solidarity. https://t.co/6pbwmynxgG",https://x.com/RepRaskin/status/1893118725563281492,43529,482,1264,12,2,8,248,106,57,202,147,9,0
1892682938493420000,YYYY-00-DD 00:00:SS,"President Trump calls Zelensky a “dictator,” which can’t be true because Trump loves all the dictators. That’s why he appeases &amp; coddles Putin &amp; his filthy imperialist war on the people of Ukraine. History teaches us that we bow down to dictators &amp; tyrants at our own peril.",https://x.com/RepRaskin/status/1892682938493419839,44229,2247,4316,31,9,8,876,498,198,483,2,0,0
1892675525912520000,YYYY-00-DD 00:00:SS,"Elon Musk fired thousands of IRS workers in tax season, hundreds of VA health researchers and countless other civil servants doing their jobs. This rampage throws the lives of civil servants into chaos and makes life harder for every American.",https://x.com/RepRaskin/status/1892675525912518783,254174,1820,7671,53,11,11,1784,657,366,3008,2,0,0
1892659549380780000,YYYY-00-DD 00:00:SS,"I'd like to bring this multimillion-dollar photo-op to the attention of Elon Musk and DOGE. Instead of firing food inspectors and air traffic controllers and cancelling critical medical research at NIH, stop this outrageous waste of our people's tax dollars!",https://x.com/RepRaskin/status/1892659549380780174,151337,4778,8952,116,28,5,1521,1356,263,1023,3,0,0
1892267708734950000,YYYY-00-DD 00:00:SS,"Now is the time for our citizenry to fight for our federal workers and national programs. Let’s stand up to the power-mad autocrats, plutocrats and theocrats attacking democracy—at home and abroad. I spoke with @briantylercohen about our historic assignment today. https://t.co/MiFcR8X0Ag",https://x.com/RepRaskin/status/1892267708734951777,68187,2587,6219,55,11,8,1497,817,161,793,12,0,0
1892231029311600000,YYYY-00-DD 00:00:SS,"We've gathered in solidarity wherever federal workers, federal programs and our Constitution are under attack. The majority will defend representative democracy against the cyberbarons. https://t.co/EAapdlleOy",https://x.com/RepRaskin/status/1892231029311603003,40801,1604,3655,17,1,2,795,398,82,452,12,0,0
1892217272413900000,YYYY-00-DD 00:00:SS,"If you want to conduct an audit, call auditors and forensic accountants. If you want to seize private data from the people and conduct a political hatchet job, call Elon Musk and his night crew of juvenile computer hackers. https://t.co/pL015x4GyM",https://x.com/RepRaskin/status/1892217272413900801,695558,17605,45936,453,136,58,11651,5979,1295,6138,73,0,0
